Test_Case,Producer_Rate,Environment,Message_Size,Percentile,Latency
TC01,100,STANDARD,100,96.89138079755823,4.518
TC01,100,STANDARD,100,96.90796894698427,4.521
TC01,100,STANDARD,100,96.93119235618074,4.526
TC01,100,STANDARD,100,96.94114524583638,4.528
TC01,100,STANDARD,100,96.96105102514764,4.533
TC01,100,STANDARD,100,96.97100391480326,4.534
TC01,100,STANDARD,100,96.98759206422932,4.54
TC01,100,STANDARD,100,97.00418021365536,4.543
TC01,100,STANDARD,100,97.0174507331962,4.546
TC01,100,STANDARD,100,97.03735651250746,4.549
TC01,100,STANDARD,100,97.05394466193351,4.551
TC01,100,STANDARD,100,97.06389755158915,4.558
TC01,100,STANDARD,100,97.08048570101519,4.561
TC01,100,STANDARD,100,97.09375622055603,4.564
TC01,100,STANDARD,100,97.11034436998209,4.571
TC01,100,STANDARD,100,97.12693251940813,4.575
TC01,100,STANDARD,100,97.1501559286046,4.578
TC01,100,STANDARD,100,97.16010881826024,4.58
TC01,100,STANDARD,100,97.17337933780108,4.586
TC01,100,STANDARD,100,97.18996748722712,4.59
TC01,100,STANDARD,100,97.20987326653838,4.595
TC01,100,STANDARD,100,97.21982615619402,4.597
TC01,100,STANDARD,100,97.24304956539048,4.604
TC01,100,STANDARD,100,97.25300245504611,4.605
TC01,100,STANDARD,100,97.26959060447217,4.607
TC01,100,STANDARD,100,97.28286112401301,4.609
TC01,100,STANDARD,100,97.30276690332427,4.616
TC01,100,STANDARD,100,97.31935505275031,4.618
TC01,100,STANDARD,100,97.33262557229115,4.619
